Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,ATG,Antigua and Barbuda,0.102363062,0.102278511,0.124577016,0.125673551,0.111950712,0.135552218,0.122876895,0.135681621,0.135711275,0.134219292,0.132732595,0.116329385,0.148233386,0.085378551,0.10434617,0.10470529,0.110716568,0.146295981,0.157927971,0.161876908,0.15428569,0.156522095,0.157893959,0.154783576,0.164001938,0.172439901,0.171401249,0.179258708,0.183484179,0.177822222,0.124065441,0.123886489,0.137644655,0.151217264,0.155505272,0.160156056,0.178235429,0.198854836,0.213860881,0.247504873,0.260458141,0.201142287,0.222270331,0.266968144,0.276091316,0.27490438,0.294515981,0.253408252,0.291919522,0.325652156,0.276753743,0.267222324,0.277651049
CO2,AUS,Australia,160.3819709,162.1126544,167.9623018,177.324783,186.8514508,193.6005627,196.3899319,209.6700044,205.9944365,211.8509425,222.0201359,222.9800866,229.2674504,217.738523,223.5250234,237.9423214,238.4026407,249.5918294,258.3906629,274.1674708,277.2015735,279.3201035,282.6800142,286.7089421,292.0819712,302.3307041,312.3753703,322.0276474,341.767461,347.9101267,353.6535813,360.2948767,368.5430845,367.9099006,381.6661916,383.8176249,389.876782,400.391406,404.0072721,409.6866822,415.0309269,412.5922294,413.1067394,405.463967,396.0260544,402.5867506,412.9620047,415.4583569,413.9947554,413.0802661,397.3706492,388.0655836,393.1625432
CO2,AUT,Austria,52.66396395,55.09697157,57.42785571,60.69791975,58.13821217,55.94555749,61.16883443,58.51008814,60.59958994,63.04934458,61.1394376,57.87330338,55.73715628,55.76564364,57.60368072,58.99750945,57.78411828,58.42417431,57.00841455,57.01924071,61.58248582,65.52625372,60.53469124,60.58785478,61.12754932,64.07813283,68.0014587,67.55158161,68.15306657,66.31418072,66.75901987,71.46168023,72.96604004,78.07896545,79.42456308,79.9031995,77.72073476,74.90722346,74.50964198,67.90792292,73.58097873,71.95573726,68.89848311,69.49986676,65.87609783,67.25615836,67.66562796,69.95405565,66.9575389,68.55629923,62.62987747,65.55403502,61.17453492
CO2,AZE,Azerbaijan,36.25717821,37.82547016,40.00351925,42.46900981,44.67945092,47.8908474,49.40604122,50.70982705,52.89616228,54.34864301,56.48919293,55.63372148,55.0271852,54.54501111,54.4699433,54.14906429,54.84049543,56.78470643,57.16524163,57.67108517,54.4127779,52.97630609,43.13373009,37.92791325,33.70075963,32.68332902,27.38398691,26.63456588,26.65742997,26.34738215,27.9000541,26.56324311,26.336916,28.85601646,28.54795427,30.3392212,30.79708556,27.9207696,30.89356504,25.75718139,24.54329675,27.80724073,30.61826691,31.54635854,32.955661,32.46665221,32.82008826,32.67367533,33.56971165,36.49553966,35.14996192,37.18708472,37.12962984
CO2,BDI,Burundi,0.058337424,0.058436671,0.058246337,0.060049816,0.064228992,0.066496269,0.0687597,0.071071125,0.072277499,0.082255219,0.081171808,0.088374711,0.073732308,0.089806734,0.10641801,0.106388088,0.111629676,0.162174662,0.229684357,0.243857263,0.204177481,0.292284317,0.230109473,0.255086213,0.26501878,0.25833637,0.279070059,0.278725356,0.294542152,0.300250163,0.301688903,0.238350654,0.223320696,0.184488799,0.220428348,0.184798528,0.232886163,0.375930083,0.222812133,0.220517486,0.322706712,0.413605191,0.400411966,0.450113689,0.407836475,0.434049649,0.47198146,0.519412081,0.704782698,0.758727814,0.825958853,0.901595365,0.924156435
CO2,BEL,Belgium,139.2517176,129.1389703,140.7476512,146.1455033,144.9774155,127.6899935,137.3339107,134.7518272,139.1759141,148.4193701,137.7774338,125.8689223,118.1266323,108.4400248,111.2356907,108.8062845,109.3706988,109.4755435,111.7281116,112.803009,115.8085784,119.7312241,117.6272937,115.6966748,122.1111769,122.4165058,127.4090896,124.4184755,127.4042395,123.113024,124.9696399,125.9340132,118.4934306,123.3716424,121.9268137,119.0885543,116.1350631,112.9671832,114.3277845,107.0744533,114.6444166,104.2438619,102.7729709,104.1690568,97.46852928,102.0938098,101.0047286,99.40229421,100.134299,100.050867,92.37307402,97.22879846,90.4148527
CO2,BEN,Benin,0.311380308,0.361691008,0.461619063,0.476488305,0.4890245,0.548638508,0.365944792,0.427150997,0.454084091,0.509510679,0.535370287,0.445586159,0.517180061,0.509755344,0.523586878,0.617489861,0.553743703,0.502916558,0.45515813,0.401260105,0.397582782,0.349448232,0.379641247,0.38450691,0.390668201,0.396921222,1.074458894,1.363972991,1.31451604,1.440316902,1.544937624,1.856447988,2.142009675,2.399165068,2.557705984,2.800856169,3.858108058,4.396848855,4.364069632,4.682008808,5.079214793,4.958798203,4.723056121,4.969130188,5.458215454,5.805493949,7.100601207,7.24004341,8.246232545,8.093889153,8.571584633,9.275926196,9.619549242
CO2,BFA,Burkina Faso,0.226220498,0.226474899,0.225611962,0.233199159,0.251036252,0.260680477,0.270120918,0.279404694,0.284086639,0.326271433,0.320717794,0.307853136,0.287173823,0.313493455,0.303591488,0.293697991,0.357551845,0.507641952,0.498088095,0.412643888,0.332356187,0.474294557,0.405789617,0.42419743,0.463682069,0.471553441,0.524987401,0.838382763,0.791925099,0.810629243,0.899418453,1.031147843,1.08548146,1.202762841,1.077026009,1.143673544,1.161686852,1.647610171,1.918302596,1.827369323,1.978118551,2.206700866,2.588201521,3.025931657,2.769555529,3.925793393,3.817763247,4.327529849,4.86645944,5.299132353,5.144378966,5.597311998,5.820477379
CO2,BGD,Bangladesh,3.338776082,3.345567869,3.469777746,4.098757434,4.31578518,5.173396021,5.551037923,5.727166642,6.148125672,6.849921113,7.686328971,7.486683547,8.150956134,8.672766498,8.109478241,9.379146367,10.40406707,11.38238335,12.40158482,13.58132139,14.31055765,13.59886653,15.21681115,16.07523967,17.37000478,21.1998878,21.55937691,23.21270486,23.72463244,25.38564722,26.49114352,32.08108885,33.76476176,35.36265442,37.35991579,39.77244755,42.76060405,45.19949487,50.53636504,53.72956137,59.55024023,63.39873241,68.09099865,71.86553418,75.64819659,84.63332179,92.87550863,100.1954684,109.983967,107.1605854,99.77820593,105.3167993,109.0752875
CO2,BGR,Bulgaria,68.94835527,68.88577525,71.18286047,72.15850119,73.03555136,78.13903537,79.01541212,82.01003634,88.08304891,91.36097951,94.4771593,90.5893626,92.4615651,91.52488927,89.97739694,92.13811796,93.24977581,93.58154227,92.72331735,91.57163161,79.75133144,64.71200917,61.83299387,62.69211648,59.78736265,61.16105451,61.43445343,59.22172843,56.79622145,50.01332073,48.08247288,50.21245299,47.38370478,53.22973703,51.2419453,52.34619596,53.94156385,57.49938298,54.40638416,46.45636577,49.43289294,54.71558778,49.87095311,44.40680503,47.24915764,49.77920973,47.09817657,49.22633519,46.26761746,44.56763325,39.36223125,45.79725249,50.10329476
CO2,BHR,Bahrain,2.958546661,2.977278562,3.567150445,4.504629886,5.311673383,5.484744116,5.951805295,6.56959208,6.955029877,7.421900559,7.524430073,8.055748928,8.493132532,8.821353985,9.029086365,9.633522369,10.95064987,10.70204298,11.29559265,11.40106417,11.97759455,11.5499248,13.59596642,14.70846644,14.98092145,15.22436591,15.7752566,16.2402267,17.21485604,17.30687149,17.75195167,18.38349178,19.20761128,19.87634029,19.90100811,23.35058556,25.42965838,25.83248618,27.64956661,27.63628431,28.81596455,28.98337014,30.19787366,32.10989212,33.28068764,33.45411461,33.44028838,33.73493365,33.99892419,36.82649123,36.82598173,37.82285599,37.95511318
CO2,BHS,Bahamas,1.441317936,1.46386159,1.725655641,1.718126833,1.50165124,1.537039469,1.35672804,1.506461304,1.527702927,1.573976743,1.546620103,1.360381955,1.119706695,0.821938946,0.80636808,0.714577823,0.748245158,0.883905644,0.902987431,1.057507901,1.024218082,0.934536202,0.807424718,0.834984474,0.900045679,1.045831503,1.16999898,1.165893707,1.33910678,1.151283443,0.913447707,0.928573037,0.998654633,0.749397057,0.818831076,0.800857222,0.996701245,1.218640744,1.261820529,1.052831142,1.200020242,0.810563443,0.999796264,1.124247205,1.122189727,1.059007407,1.165462378,1.256715267,1.526761285,1.695711009,1.441101026,1.391729845,1.446216085
CO2,BIH,Bosnia and Herzegovina,11.56361107,11.6004222,11.39496359,12.41625476,13.44840314,13.71809289,13.57423062,14.30415511,14.98894513,15.49010095,14.92462825,16.5254727,17.10787824,18.11148875,18.86943529,19.87931194,20.82075858,19.23579221,19.57893652,19.91595902,24.57312828,21.99189512,16.22844766,13.62022817,3.300060768,3.514630234,4.399344193,8.723203347,11.05089459,10.89219328,14.27460582,14.08877306,14.82062831,15.18239566,16.02428648,16.83403013,18.6778515,19.71159034,21.63803552,21.64173227,22.1812515,25.22978254,23.29164108,23.1978536,20.79128304,20.82409409,23.48891508,23.96654699,24.05776543,22.5911856,22.52741594,21.7872466,21.82667073
CO2,BLR,Belarus,54.98195655,55.73669549,58.88746743,62.82693817,66.49055566,72.23223549,75.01107757,76.7987373,79.97640039,82.30873389,85.45656509,85.07838128,86.33248237,87.39724281,88.38211956,89.68039032,92.62929305,95.64679234,96.67550558,97.4118672,105.0451825,101.2609972,91.61833267,79.07025599,67.30947962,60.11746731,61.02335917,61.51380163,60.04440312,57.95780948,55.80653361,54.5869934,54.80282582,55.42499885,58.77450185,59.60090158,62.04315976,60.69521025,64.46188154,61.35202159,65.85612597,62.69767119,63.98000199,64.1532843,63.69737332,59.01177054,58.95153188,60.11343895,63.46356589,61.30051197,58.0941281,59.64347082,57.41141
CO2,BLZ,Belize,0.059880453,0.059853964,0.072618397,0.073268017,0.065446065,0.078950255,0.071723065,0.079053918,0.079083254,0.078245952,0.077415786,0.07137393,0.062758893,0.061342137,0.072769619,0.07305098,0.094263385,0.082177857,0.064739832,0.09690633,0.119303037,0.137958648,0.11462822,0.112439112,0.10613679,0.120542223,0.100275896,0.171362681,0.174121888,0.205939276,0.126832118,0.131703967,0.129248498,0.137332765,0.127523421,0.139547581,0.158176783,0.155676043,0.150105215,0.182255299,0.216029115,0.141619192,0.159536281,0.210709036,0.201059075,0.232618703,0.242803048,0.258862659,0.243794027,0.256719128,0.219797412,0.253271644,0.269435132
CO2,BMU,Bermuda,0.138889816,0.138782217,0.169059036,0.170564617,0.151959004,0.1840025,0.166807477,0.184187829,0.184226688,0.182202279,0.180186399,0.153632133,0.152855208,0.157710734,0.17064903,0.166511454,0.163136812,0.248442253,0.291753097,0.362765106,0.238137362,0.21713415,0.171919617,0.192850364,0.185949977,0.187757477,0.191816071,0.194688804,0.199382278,0.193234097,0.137898202,0.139208862,0.152252509,0.158435749,0.162172516,0.173101064,0.210839052,0.257095038,0.258386535,0.22743954,0.28893431,0.145498083,0.174633764,0.203820145,0.268478791,0.217907548,0.291491114,0.260911248,0.308788618,0.342912186,0.316421465,0.305564936,0.317540515
CO2,BOL,Bolivia,3.018354249,3.766059396,4.490225081,4.179844726,3.979570501,4.52806269,5.117189788,4.916212212,5.603466223,4.985981055,4.938590201,5.293528596,5.516092019,5.680420585,5.19043934,5.110010575,4.760748876,4.94214325,5.352313071,6.163578449,6.572940504,6.888888195,7.42095836,8.876881065,9.581216367,8.658540025,8.367351877,9.224053874,8.724051235,8.288699414,8.103846047,7.813282914,8.346744597,8.908109314,9.386461291,9.878263436,10.70899153,11.92492744,12.74916947,13.5964376,14.70760033,16.00207142,16.96941426,18.02397538,19.3090414,19.83445794,21.27869675,21.64798917,21.85102201,21.8707039,18.46057064,21.86678329,21.95952476
CO2,BRA,Brazil,104.6643979,104.3076518,113.5579712,132.1980415,142.6812911,152.3365008,167.3605817,173.3696302,187.3359762,199.8679332,199.724148,185.3908692,185.1317929,176.3360821,178.0927685,187.1774396,208.3348563,213.2828492,216.8694632,219.6025372,219.7506746,225.99047,230.0881929,240.4134909,247.3896169,268.1245057,288.8458814,308.4490882,318.2112405,327.4332004,344.4556912,347.6462748,348.1144506,343.7261077,362.5668156,365.166007,370.2005219,389.064046,409.2582331,382.7997292,436.3929603,458.3597676,495.2274561,520.3719086,545.1420577,515.5151949,480.8268793,492.7352784,468.7640043,468.0139971,447.6954224,503.5386965,466.7703951
CO2,BRB,Barbados,0.254939201,0.254748177,0.308361577,0.304910444,0.272115076,0.327944764,0.306539908,0.335242378,0.344966127,0.345547941,0.345115645,0.342691843,0.328329428,0.34237918,0.410236445,0.499179824,0.535497638,0.506327264,0.517337568,0.59210357,0.55838989,0.538925812,0.521280095,0.496664261,0.474891341,0.489044249,0.4818875,0.57093382,0.629749333,0.636660194,0.550722281,0.537571935,0.56933718,0.602473638,0.601525122,0.612844614,0.651073543,0.632863317,0.744047047,0.750811844,0.773904031,0.650039152,0.633389435,0.748674608,0.660228271,0.685872285,0.730098528,0.601048288,0.70157989,0.771709839,0.665025565,0.651523791,0.674169855
CO2,BRN,Brunei,2.038844006,1.885509436,2.220159839,2.604640342,2.565312127,2.564461592,2.886714972,2.918109784,3.065884477,2.729205856,3.39494809,2.832423629,3.074376378,3.26240036,3.022595356,3.032215953,3.006162324,3.064158919,3.203912357,3.182853724,3.33663237,3.701516021,3.896855014,4.061121232,4.356900709,4.691772373,4.920790777,5.480529493,4.663825784,4.585394184,4.880598288,4.868425173,4.783026012,5.694574182,5.26022758,5.165908756,7.689113161,7.289968828,8.034014164,7.98864611,7.32809022,7.503342574,7.467769745,7.37294797,7.203581649,6.508577915,7.052509658,7.433504018,7.718545835,7.407921159,9.60888546,9.812213609,9.375653802
CO2,BTN,Bhutan,0.03513463,0.037140352,0.040331035,0.04236945,0.043186932,0.042774004,0.04463143,0.047095548,0.049711513,0.051323721,0.051820353,0.078180967,0.077782885,0.078958151,0.077529188,0.082507512,0.083121261,0.128818689,0.133750249,0.135526557,0.18074763,0.184634264,0.184504275,0.187580422,0.232572537,0.308623214,0.338420992,0.390246195,0.429733146,0.499948888,0.422610974,0.453824684,0.490062674,0.505198619,0.512597943,0.556281708,0.563809028,0.577160086,0.608608209,0.831722311,0.923671642,1.119882992,1.07255932,1.123191961,1.150345742,1.33627256,1.456419688,1.587983646,1.829026013,2.002374769,1.544165813,1.697103352,1.712448808
