Entity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,82648000.0,88847130.0,90066640.0,93975900.0,95480376.0,94845480.0,99699160.0,100705870.0,102555590.0,110616140.0,108656130.0,101968540.0,103351140.0,105142040.0,106451700.0,100531220.0,104150060.0,114877224.0,121404740.0,117020424.0,112079090.0,117505740.0,121230584.0,117777490.0,118469420.0,125239784.0,131134840.0,136523740.0,139005000.0,147673550.0,142765220.0,134422270.0,124454620.0,133993820.0,156712420.0,161189180.0,174209920.0,173482060.0,187243460.0,178110960.0,185854340.0,189676100.0,191292110.0,189537740.0,188396530.0,191743840.0,189920450.0,186898880.0,180599310.0,178511620.0,166879580.0,189744130.0,192864430.0
Armenia,5180804.0,5507856.0,5802025.0,6055597.0,6295421.0,6624855.0,6881780.0,7118719.0,7368149.0,7428925.0,7719751.0,7585534.0,7729933.0,7845646.0,7919893.0,8534360.0,8064167.0,8189549.5,9290236.0,9462471.0,8947546.0,7307800.0,5723698.0,2510247.0,2684702.0,3362694.0,2500312.0,3252761.0,3419094.0,3040204.0,3491407.0,3532701.0,3076793.0,3455560.0,3691197.0,4376169.0,4401590.0,5100210.0,5574790.0,4363332.0,4252750.0,4968878.0,5748252.0,5535004.0,5604113.0,5469323.0,5203013.0,5540153.0,5825786.0,6284110.0,6799022.0,7064143.0,6407760.0
Aruba,928761.0,808321.0,783783.0,869461.0,788077.0,570712.0,1219127.0,636760.0,542289.0,568871.0,585435.0,557625.0,623468.0,320425.0,800142.0,936532.0,179536.0,447008.0,611888.0,648528.0,487312.0,531280.0,538608.0,648528.0,659520.0,707152.0,725472.0,758448.0,806080.0,809744.0,2377936.0,2407248.0,2436560.0,2561136.0,2616096.0,2718688.0,2715024.0,2821280.0,2656400.0,2627088.0,2506176.0,2498848.0,1348352.0,861040.0,872032.0,897680.0,883024.0,890352.0,872032.0,890352.0,890352.0,857967.0,865874.0
Asia,2695769600.0,2950089000.0,3120029000.0,3351352300.0,3410965200.0,3576356000.0,3801276000.0,4045921000.0,4227023400.0,4400641500.0,4395379700.0,4368962000.0,4518591000.0,4700642300.0,4974816000.0,5266013700.0,5492050000.0,5727687000.0,6189060000.0,6404369400.0,6608574500.0,7405573000.0,7248764400.0,7582536000.0,7937216500.0,8257986000.0,8596896000.0,8717279000.0,8473237000.0,8952734000.0,9328854000.0,9491190000.0,10012849000.0,11021268000.0,11680722000.0,12527827000.0,13389901000.0,14088936000.0,14828029000.0,15345886000.0,16496831000.0,17715628000.0,18400993000.0,18635370000.0,18959088000.0,19113157000.0,19244577000.0,19773784000.0,20401152000.0,20855636000.0,20519535000.0,21438681000.0,21772347000.0
Asia (GCP),2412936400.0,2619624000.0,2769379800.0,2924119800.0,2968702500.0,3143297500.0,3294704400.0,3513107500.0,3692338200.0,3833000700.0,3842749200.0,3818676500.0,3956348000.0,4108107000.0,4354410500.0,4597335000.0,4780445700.0,5000450000.0,5414077000.0,5584615400.0,5766321000.0,5997791000.0,6231175700.0,6477620000.0,6773689000.0,7132888600.0,7452906500.0,7589188000.0,7306496000.0,7696359000.0,7940076500.0,8087269400.0,8590895000.0,9507141000.0,10049575000.0,10832524000.0,11584675000.0,12292028000.0,12889317000.0,13327960000.0,14366534000.0,15540582000.0,16079691000.0,16360907000.0,16575174000.0,16612157000.0,16682630000.0,17134460000.0,17738508000.0,18190260000.0,18005277000.0,18805864000.0,19102590000.0
Asia (excl. China and India),1706094200.0,1848915500.0,1948347400.0,2133964500.0,2167012000.0,2158932200.0,2330105300.0,2446128000.0,2471096000.0,2598695700.0,2609172700.0,2577507800.0,2586626300.0,2654226700.0,2768428500.0,2870338800.0,2961527000.0,3014605800.0,3271474400.0,3400063700.0,3545724200.0,4184112000.0,3862529800.0,3983586000.0,4119413500.0,4135887400.0,4264457200.0,4343674000.0,4232877000.0,4444999000.0,4702127000.0,4771707000.0,4888142300.0,5120989000.0,5338274300.0,5460009500.0,5603077600.0,5712854000.0,5837094000.0,5842581000.0,6198867500.0,6418505700.0,6695939000.0,6683896300.0,6812070400.0,7011986000.0,7124889600.0,7336026600.0,7454159400.0,7521706500.0,7183972000.0,7428227600.0,7545927700.0
Australia,147861020.0,151116060.0,153598260.0,170143800.0,166182740.0,173101520.0,169803060.0,181914660.0,191051580.0,192321940.0,204370200.0,213809920.0,218000900.0,207645390.0,217516260.0,224555890.0,224040290.0,234599840.0,240737040.0,256836640.0,278160300.0,279534000.0,284528770.0,288873500.0,293700930.0,305055580.0,311940480.0,320332770.0,334135550.0,343959200.0,350007680.0,357783400.0,362536540.0,369441730.0,382873440.0,386205380.0,392436350.0,399676260.0,404255700.0,407477150.0,405512200.0,404256770.0,406579740.0,399288030.0,393049380.0,401378370.0,410253600.0,413655460.0,415350720.0,415811260.0,396685200.0,386606940.0,392279260.0
Austria,50631700.0,52069100.0,56071172.0,60015524.0,57294164.0,54213684.0,58203790.0,55993692.0,57226484.0,61321330.0,52024932.0,55832892.0,53565290.0,51668240.0,54214052.0,54366320.0,53728532.0,57373910.0,52937220.0,53696290.0,62167160.0,65765656.0,60266150.0,60692130.0,61066644.0,64044060.0,67388560.0,67285130.0,66920028.0,65671310.0,66171724.0,70171320.0,71974936.0,77401896.0,77699210.0,79097400.0,76817416.0,74117800.0,73495470.0,67315330.0,72017330.0,69909256.0,67282920.0,67776040.0,64175904.0,66365640.0,67226580.0,69608664.0,66571892.0,67956160.0,62121252.0,66018630.0,61488424.0
Azerbaijan,31105304.0,33029782.0,34768016.0,36255064.0,37656150.0,39597612.0,41125860.0,42529732.0,44002090.0,44370444.0,46109770.0,45261570.0,46118684.0,46784470.0,47209396.0,50898268.0,53118396.0,49605304.0,51012316.0,50643184.0,51151204.0,49752200.0,56174400.0,48406096.0,41944856.0,33309350.0,31242310.0,29842898.0,31784872.0,28821594.0,29765310.0,28415460.0,28570334.0,30487584.0,32253040.0,34193560.0,34521828.0,30036786.0,33036510.0,29102576.0,27549052.0,30209808.0,32773342.0,33555224.0,34348428.0,34682950.0,34727330.0,34607044.0,34575828.0,37737896.0,36149228.0,38333620.0,38062656.0
Bahamas,2568770.0,6723746.0,6481298.0,7862745.0,7379751.0,8246118.5,6457396.0,9708689.0,6597044.0,6915653.0,7972125.0,2798440.0,2258485.0,2014374.0,1853984.0,1509568.0,1410640.0,1421632.0,1538880.0,1945584.0,2022527.9,1996880.0,1868640.0,1744064.0,1769712.0,1839328.0,1813680.0,1608496.0,1989552.0,2033520.0,2026192.0,1945584.0,2037184.0,2070159.9,2048176.0,1905280.0,1853984.0,1872304.0,1916272.0,2154432.0,2227712.0,2114128.0,2051840.1,2029856.0,2136112.0,2246032.0,2209392.0,2509840.0,2421904.0,2454880.0,2183744.0,2100671.0,2120000.0
